timestamp,open,high,low,close,volume,rsi_14,sma_20,sma_50,ema_12,macd,macd_signal,macd_hist,bb_upper,bb_mid,bb_lower
2026-02-20 00:00:00,82.5,85.49,81.77,84.67,3754556.759,,,,,,,,,,
2026-02-21 00:00:00,84.68,86.72,83.97,85.17,1780748.862,,,,,,,,,,
2026-02-22 00:00:00,85.17,85.6,82.48,82.79,1798852.596,,,,,,,,,,
2026-02-23 00:00:00,82.8,82.85,77.15,77.9,5163373.383,,,,,,,,,,
2026-02-24 00:00:00,77.91,79.62,75.63,78.99,3592828.376,,,,,,,,,,
2026-02-25 00:00:00,78.99,92.1,78.73,88.06,5632749.415,,,,,,,,,,
2026-02-26 00:00:00,88.05,89.27,84.34,85.91,3356890.979,,,,,,,,,,
2026-02-27 00:00:00,85.91,88.29,80.32,81.85,3370499.359,,,,,,,,,,
2026-02-28 00:00:00,81.84,85.65,77.12,84.35,4737699.879,,,,,,,,,,
2026-03-01 00:00:00,84.35,88.9,81.69,83.6,4435194.222,,,,,,,,,,
2026-03-02 00:00:00,83.61,90.29,82.37,86.64,5123433.26,,,,,,,,,,
2026-03-03 00:00:00,86.65,87.46,82.5,86.97,4136742.745,,,,83.91,,,,,,
2026-03-04 00:00:00,86.98,94.05,84.78,90.85,6329931.383,,,,84.98,,,,,,
2026-03-05 00:00:00,90.86,92.96,87.91,88.77,3753710.608,,,,85.56,,,,,,
2026-03-06 00:00:00,88.78,89.31,83.64,84.7,3135324.642,,,,85.43,,,,,,
2026-03-07 00:00:00,84.69,85.07,82.28,83.22,1465281.721,48.16,,,85.09,,,,,,
2026-03-08 00:00:00,83.22,84.13,80.26,81.59,2102965.687,46.1,,,84.55,,,,,,
2026-03-09 00:00:00,81.6,87.06,81.54,84.96,3594057.289,50.78,,,84.61,,,,,,
2026-03-10 00:00:00,84.95,88.8,84.83,85.88,3643895.134,52.0,,,84.81,,,,,,
2026-03-11 00:00:00,85.88,88.09,84.36,86.58,3182175.739,52.96,84.67,,85.08,,,,90.76,84.67,78.59
2026-03-12 00:00:00,86.58,87.69,84.72,86.84,2913681.148,53.34,84.78,,85.35,,,,90.94,84.78,78.62
2026-03-13 00:00:00,86.83,92.98,86.71,88.18,4940378.617,55.3,84.93,,85.79,,,,91.26,84.93,78.6
2026-03-14 00:00:00,88.17,88.71,86.51,88.03,1498143.039,55.02,85.19,,86.13,,,,91.58,85.19,78.8
2026-03-15 00:00:00,88.04,93.23,87.36,92.3,2614547.105,61.06,85.91,,87.08,,,,92.1,85.91,79.73
2026-03-16 00:00:00,92.31,97.68,91.18,96.2,5621650.621,65.6,86.77,,88.48,,,,93.62,86.77,79.93
2026-03-17 00:00:00,96.19,96.95,93.15,94.62,2833557.586,62.43,87.1,,89.43,3.2884,,,94.74,87.1,79.46
2026-03-18 00:00:00,94.61,95.65,88.55,90.08,3293861.558,54.29,87.31,,89.53,3.0968,,,95.04,87.31,79.58
2026-03-19 00:00:00,90.07,91.41,87.0,88.89,2609542.924,52.36,87.66,,89.43,2.8166,,,94.99,87.66,80.33
2026-03-20 00:00:00,88.9,90.45,88.13,89.84,2201411.538,53.77,87.94,,89.49,2.6406,,,95.16,87.94,80.71
2026-03-21 00:00:00,89.85,90.81,89.73,90.02,520286.49,54.05,88.26,,89.57,2.4871,,,95.25,88.26,81.27
